column_name,latex_name,description
timestamp,,The timestamp of the measurement; in seconds with respect to the system wall-clock.
counter,,Measurement counter.
flag,,User-defined flag.
intervention,,Intervention flag. Has a value of 1 if this is the first measurement after a SET instruction; and 0 otherwise.
red,,The brightness setting of the red LEDs on the main light source. Higher values correspond to higher brightness.
green,,The brightness setting of the green LEDs on the main light source. Higher values correspond to higher brightness.
blue,,The brightness setting of the blue LEDs on the main light source. Higher values correspond to higher brightness.
current_ls,,The measurement of electric current drawn by the light source; in Amperes.
current_ls_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_ls.
offset_current_ls,,The reference voltage (offset) of the ADC producing the current_ls and current_ls_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_ls}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_ls result in higher values of current_ls_raw.
sps_current_ls,,The data rate of the ADC producing the current_ls and current_ls_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_current_ls,,The resolution of the ADC producing the current_ls and current_ls_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
pol_1,,The set position of the first polarizer; in degrees. The actual angle of the polarizer may slightly deviate from this setting due to the imperfect coupling of the mechanical pieces and the resolution of the motor (see mot_1_steps).
mot_1_steps,,The steps-per-revolution of the stepper motor controlling the first polarizer. Higher values mean a higher motor resolution; i.e.; more precise positioning. At low current levels mot_1_max and/or step values below 800; the motor may lose torque and start missing steps; resulting in a mismatch between the set position pol_1 and the actual polarizer angle.
mot_1_enabled,,Enables (1) or disables (0) the motor of the first polarizer. If the motor is disabled (0); setting pol_1 will have no effect on the actual position of the polarizer.
mot_1_max,,Regulates the maximum current drawn by the motor controlling the first polarizer. At low current levels and/or mot_1_steps values below 800; the motor may lose torque and start missing steps; resulting in a mismatch between the set position pol_1 and the actual polarizer angle.
current_mot_1,,The measurement (in Amperes) of the electric current drawn by the motor controlling the first polarizer.
current_mot_1_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_mot_1.
offset_current_mot_1,,The reference voltage (offset) of the ADC producing the current_mot_1 and current_mot_1_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_mot_1}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_mot_1 result in higher values of current_mot_1_raw.
sps_current_mot_1,,The data rate of the ADC producing the current_mot_1 and current_mot_1_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_current_mot_1,,The resolution of the ADC producing the current_mot_1 and current_mot_1_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
angle_1,,The position (in degrees) of the first polarizer as measured by the analog angle sensor.
angle_1_raw,,The uncalibrated angle measurement for the first polarizer; i.e.; the raw ADC output corresponding to angle_1.
offset_angle_1,,The reference voltage (offset) of the ADC producing the angle_1 and angle_1_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_angle_1}}{4095}.$$
sps_angle_1,,The data rate of the ADC producing the angle_1 and angle_1_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
res_angle_1,,The resolution of the ADC producing the angle_1 and angle_1_raw measurements. Higher values mean a higher resolution; where a smaller voltage range is mapped to the ADC output range $\{-32768; 32767\}$. The voltage ranges are; respectively; $\pm 6.144; \pm 4.096; \pm 2.048; \pm 1.024; \pm 0.512$ and $\pm 0.256$ Volts. The reading will saturate; i.e.; clamp at $-32768$ or $32767$; if the input voltage exceeds the set range.
angle_1_digital,,The position (in degrees) of the first polarizer as measured by the rotary encoder.
pol_2,,The set position of the second polarizer; in degrees. The actual angle of the polarizer may slightly deviate from this setting due to the imperfect coupling of the mechanical pieces and the resolution of the motor (see mot_2_steps).
mot_2_steps,,The steps-per-revolution of the stepper motor controlling the second polarizer. Higher values mean a higher motor resolution; i.e.; more precise positioning. At low current levels mot_2_max and/or step values below 800; the motor may lose torque and start missing steps; resulting in a mismatch between the set position pol_2 and the actual polarizer angle.
mot_2_enabled,,Enables (1) or disables (0) the motor of the second polarizer. If the motor is disabled (0); setting pol_2 will have no effect on the actual position of the polarizer.
mot_2_max,,Regulates the maximum current drawn by the motor controlling the second polarizer. At low current levels and/or mot_2_steps values below 800; the motor may lose torque and start missing steps; resulting in a mismatch between the set position pol_2 and the actual polarizer angle.
current_mot_2,,The measurement (in Amperes) of the electric current drawn by the motor controlling the second polarizer.
current_mot_2_raw,,The uncalibrated measurement; i.e.; the raw ADC output; corresponding to the measurement current_mot_2.
offset_current_mot_2,,The reference voltage (offset) of the ADC producing the current_mot_2 and current_mot_2_raw measurements. The actual reference voltage (in Volts) is given by $$5 \times \frac{\text{offset_current_mot_2}}{4095}.$$Because the signal from the current sensor is passed through an inverting amplifier and substracted from the reference voltage; higher values of offset_current_mot_2 result in higher values of current_mot_2_raw.
sps_current_mot_2,,The data rate of the ADC producing the current_mot_2 and current_mot_2_raw measurements. Lower values mean the ADC accumulates more readings to produce a single measurement; reducing noise but also lowering the measurement speed. The actual data rates are (respectively) $8; 16; 32; 64; 128; 250; 475$ and $860$ samples per second.
